id,campaign_id,customer_id,product_id,utm_source,utm_medium,utm_campaign,utm_content,utm_term
1,2,228,137,meta,social,retargeting_jul_2025,,mochilas
1,2,228,148,meta,social,retargeting_jul_2025,,mochilas
1,2,228,53,meta,social,retargeting_jul_2025,,mochilas
1,2,228,77,meta,social,retargeting_jul_2025,,mochilas
2,8,101,140,meta,social,retargeting_jul_2025,remarketing,remeras
2,8,101,45,meta,social,retargeting_jul_2025,remarketing,remeras
2,8,101,49,meta,social,retargeting_jul_2025,remarketing,remeras
2,8,101,93,meta,social,retargeting_jul_2025,remarketing,remeras
3,9,99,148,meta,social,nuevo_drop_ago_2025,remarketing,camperas
4,9,108,10,meta,social,nuevo_drop_ago_2025,promo,mochilas
4,9,108,78,meta,social,nuevo_drop_ago_2025,promo,mochilas
5,7,14,125,google,cpc,invierno_2025,carousel,remeras
5,7,14,130,google,cpc,invierno_2025,carousel,remeras
5,7,14,65,google,cpc,invierno_2025,carousel,remeras
6,11,198,54,meta,social,retargeting_jul_2025,carousel,remeras
6,11,198,89,meta,social,retargeting_jul_2025,carousel,remeras
7,10,78,100,google,cpc,invierno_2025,remarketing,camperas
7,10,78,38,google,cpc,invierno_2025,remarketing,camperas
7,10,78,4,google,cpc,invierno_2025,remarketing,camperas
7,10,78,98,google,cpc,invierno_2025,remarketing,camperas
8,4,174,4,google,cpc,invierno_2025,remarketing,
9,1,230,20,google,cpc,invierno_2025,remarketing,botas
9,1,230,71,google,cpc,invierno_2025,remarketing,botas
9,1,230,83,google,cpc,invierno_2025,remarketing,botas
9,1,230,19,google,cpc,invierno_2025,remarketing,botas
10,12,65,10,meta,social,nuevo_drop_ago_2025,,remeras
11,10,123,1,google,cpc,invierno_2025,video,botas
11,10,123,124,google,cpc,invierno_2025,video,botas
12,1,2,107,google,cpc,invierno_2025,remarketing,zapatillas
12,1,2,33,google,cpc,invierno_2025,remarketing,zapatillas
12,1,2,70,google,cpc,invierno_2025,remarketing,zapatillas
13,11,184,90,meta,social,retargeting_jul_2025,brand,
13,11,184,143,meta,social,retargeting_jul_2025,brand,
13,11,184,31,meta,social,retargeting_jul_2025,brand,
14,1,190,125,google,cpc,invierno_2025,carousel,camperas
15,11,35,52,meta,social,retargeting_jul_2025,video,
15,11,35,9,meta,social,retargeting_jul_2025,video,
15,11,35,16,meta,social,retargeting_jul_2025,video,
16,11,187,112,meta,social,retargeting_jul_2025,,camperas
16,11,187,39,meta,social,retargeting_jul_2025,,camperas
16,11,187,107,meta,social,retargeting_jul_2025,,camperas
17,11,42,119,meta,social,retargeting_jul_2025,remarketing,
17,11,42,104,meta,social,retargeting_jul_2025,remarketing,
17,11,42,119,meta,social,retargeting_jul_2025,remarketing,
17,11,42,1,meta,social,retargeting_jul_2025,remarketing,
18,12,76,89,meta,social,nuevo_drop_ago_2025,video,remeras
18,12,76,6,meta,social,nuevo_drop_ago_2025,video,remeras
18,12,76,17,meta,social,nuevo_drop_ago_2025,video,remeras
18,12,76,134,meta,social,nuevo_drop_ago_2025,video,remeras
19,7,38,32,google,cpc,invierno_2025,carousel,mochilas
19,7,38,128,google,cpc,invierno_2025,carousel,mochilas
19,7,38,82,google,cpc,invierno_2025,carousel,mochilas
20,9,4,56,meta,social,nuevo_drop_ago_2025,carousel,botas
21,11,194,107,meta,social,retargeting_jul_2025,brand,camperas
21,11,194,119,meta,social,retargeting_jul_2025,brand,camperas
21,11,194,36,meta,social,retargeting_jul_2025,brand,camperas
22,8,214,1,meta,social,retargeting_jul_2025,,
23,4,40,107,google,cpc,invierno_2025,promo,
24,1,109,51,google,cpc,invierno_2025,carousel,
25,9,233,32,meta,social,nuevo_drop_ago_2025,video,
26,4,24,91,google,cpc,invierno_2025,carousel,
26,4,24,62,google,cpc,invierno_2025,carousel,
26,4,24,18,google,cpc,invierno_2025,carousel,
27,8,195,127,meta,social,retargeting_jul_2025,remarketing,botas
27,8,195,74,meta,social,retargeting_jul_2025,remarketing,botas
28,10,80,49,google,cpc,invierno_2025,video,zapatillas
28,10,80,95,google,cpc,invierno_2025,video,zapatillas
28,10,80,126,google,cpc,invierno_2025,video,zapatillas
28,10,80,102,google,cpc,invierno_2025,video,zapatillas
29,11,153,149,meta,social,retargeting_jul_2025,carousel,zapatillas
29,11,153,103,meta,social,retargeting_jul_2025,carousel,zapatillas
29,11,153,104,meta,social,retargeting_jul_2025,carousel,zapatillas
30,6,161,7,meta,social,nuevo_drop_ago_2025,video,mochilas
30,6,161,84,meta,social,nuevo_drop_ago_2025,video,mochilas
30,6,161,25,meta,social,nuevo_drop_ago_2025,video,mochilas
30,6,161,134,meta,social,nuevo_drop_ago_2025,video,mochilas
31,1,140,99,google,cpc,invierno_2025,brand,zapatillas
32,8,143,35,meta,social,retargeting_jul_2025,brand,remeras
32,8,143,100,meta,social,retargeting_jul_2025,brand,remeras
32,8,143,146,meta,social,retargeting_jul_2025,brand,remeras
32,8,143,142,meta,social,retargeting_jul_2025,brand,remeras
33,9,89,61,meta,social,nuevo_drop_ago_2025,,camperas
33,9,89,22,meta,social,nuevo_drop_ago_2025,,camperas
34,8,43,20,meta,social,retargeting_jul_2025,video,
34,8,43,74,meta,social,retargeting_jul_2025,video,
34,8,43,77,meta,social,retargeting_jul_2025,video,
34,8,43,58,meta,social,retargeting_jul_2025,video,
35,11,146,130,meta,social,retargeting_jul_2025,carousel,zapatillas
35,11,146,139,meta,social,retargeting_jul_2025,carousel,zapatillas
35,11,146,107,meta,social,retargeting_jul_2025,carousel,zapatillas
36,4,62,82,google,cpc,invierno_2025,,remeras
