id,customer_id,campaign_id,order_status,order_date_id,order_time,customer_billing_address_id,customer_shipping_address_id,currency,shipping_amount,order_subtotal,order_discount,order_tax,order_total,created_at_date,created_at_time
1,228,2,delivered,236,05:25:58,359,358,ARS,0.0,608021.07,37631.06,119781.9,690171.91,236,05:25:58
2,101,8,delivered,203,13:53:32,157,156,ARS,0.0,791961.63,42047.78,157481.91,907395.76,203,13:53:32
3,99,9,paid,206,22:00:42,154,153,ARS,0.0,138581.1,16629.73,25609.79,147561.16,206,22:00:42
4,9,,shipped,242,13:25:10,,14,ARS,0.0,125460.5,15055.26,23185.1,133590.34,242,13:25:10
5,108,9,canceled,189,10:31:47,,168,ARS,0.0,823628.91,82362.89,155665.86,896931.88,189,10:31:47
6,14,7,delivered,231,00:59:38,,21,ARS,0.0,229681.2,11338.91,45851.88,264194.17,231,00:59:38
7,198,11,paid,208,23:12:48,307,306,ARS,0.0,427878.49,51345.42,79071.94,455605.02,208,23:12:48
8,78,10,delivered,220,08:30:26,,120,ARS,0.0,863637.37,51481.94,170552.64,982708.07,220,08:30:26
9,174,4,paid,153,00:18:30,267,266,ARS,0.0,108672.64,0.0,22821.25,131493.89,153,00:18:30
10,15,,canceled,233,04:26:03,,22,ARS,0.0,325132.8,6502.66,66912.33,385542.47,233,04:26:03
11,230,1,delivered,184,10:43:29,363,362,ARS,0.0,789062.52,35466.35,158255.19,911851.36,184,10:43:29
12,65,12,created,215,05:25:10,102,101,ARS,0.0,445442.67,31180.99,86994.95,501256.64,215,05:25:10
13,123,10,shipped,160,19:39:55,,187,ARS,0.0,369949.18,41495.91,68975.19,397428.46,160,19:39:55
14,100,,shipped,197,17:42:46,,155,ARS,0.0,124793.49,2495.87,25682.5,147980.12,197,17:42:46
15,149,,delivered,156,05:09:18,,229,ARS,0.0,472724.62,24065.74,94218.37,542877.25,156,05:09:18
16,45,,pending,187,05:08:32,,67,ARS,0.0,369894.29,16181.98,74279.58,427991.89,187,05:08:32
17,2,1,paid,163,23:43:46,,3,ARS,0.0,462381.58,25399.45,91766.25,528748.37,163,23:43:46
18,184,11,shipped,163,22:50:07,,283,ARS,0.0,720585.79,2485.01,150801.16,868901.94,163,22:50:07
19,190,1,delivered,174,05:45:15,294,293,ARS,0.0,329263.05,0.0,69145.24,398408.29,174,05:45:15
20,35,11,delivered,232,13:03:21,,54,ARS,0.0,537427.46,33146.31,105899.04,610180.19,232,13:03:21
21,187,11,delivered,183,09:01:23,,288,ARS,0.0,524438.15,6064.48,108858.47,627232.14,183,09:01:23
22,42,11,delivered,226,00:53:19,,64,ARS,0.0,901990.76,67048.66,175337.84,1010279.94,226,00:53:19
23,94,,paid,223,02:26:22,,145,ARS,0.0,143255.91,14203.59,27100.99,156153.31,223,02:26:22
24,195,,paid,186,18:20:03,,301,ARS,0.0,791545.87,70929.94,151329.34,871945.27,186,18:20:03
25,205,,paid,210,03:10:43,320,319,ARS,0.0,117475.56,5873.78,23436.37,135038.16,210,03:10:43
26,76,12,canceled,221,04:48:25,,117,ARS,0.0,330484.26,16158.07,66008.5,380334.69,221,04:48:25
27,152,,shipped,224,04:48:15,,232,ARS,0.0,485647.64,21797.63,97408.5,561258.52,224,04:48:15
28,38,7,shipped,172,19:25:45,59,58,ARS,0.0,388539.94,17055.88,78011.65,449495.71,172,19:25:45
29,216,,shipped,163,11:52:57,337,336,ARS,0.0,363972.3,36397.23,68790.76,396365.83,163,11:52:57
30,4,9,paid,191,16:13:22,,6,ARS,4449.17,34308.15,2401.57,6700.38,43056.13,191,16:13:22
31,230,,pending,227,21:46:12,363,362,ARS,0.0,94810.32,4740.52,18914.66,108984.46,227,21:46:12
32,194,11,pending,204,23:15:29,300,299,ARS,0.0,499625.48,48767.7,94680.13,545537.91,204,23:15:29
33,214,8,shipped,211,08:10:28,333,332,ARS,0.0,112524.82,5626.24,22448.7,129347.28,211,08:10:28
