id,product_id,customer_id,campaign_id,line_number,quantity,unit_price,discount_amount,tax_amount
1,137,228,2,1,2,97309.59,13623.34,38009.13
2,148,228,2,2,2,69290.55,2771.62,28519.99
3,53,228,2,3,3,55916.19,8387.43,33465.84
4,77,228,2,4,3,35690.74,12848.67,19786.95
5,140,101,8,1,1,42260.66,5071.28,7809.77
6,45,101,8,2,2,5514.12,220.56,2269.61
7,49,101,8,3,3,146549.87,30775.47,85863.57
8,93,101,8,4,2,149511.56,5980.46,61538.96
9,148,99,9,1,2,69290.55,16629.73,25609.79
10,149,9,,1,2,62730.25,15055.26,23185.1
11,10,108,9,1,3,148480.89,44544.27,84188.66
12,78,108,9,2,3,126062.08,37818.62,71477.2
13,125,14,7,1,1,109754.35,2195.09,22587.45
14,130,14,7,2,1,56977.18,2848.86,11366.95
15,65,14,7,3,1,62949.67,6294.97,11897.49
16,54,198,11,1,3,132170.57,47581.41,73275.36
17,89,198,11,2,1,31366.78,3764.01,5796.58
18,100,78,10,1,2,27000.42,2700.04,10773.17
19,38,78,10,2,3,102110.27,21443.16,59826.41
20,4,78,10,3,2,54336.32,7607.08,21223.77
21,98,78,10,4,3,131544.36,19731.65,78729.3
22,4,174,4,1,2,54336.32,0.0,22821.25
23,23,15,,1,3,108377.6,6502.66,66912.33
24,20,230,1,1,3,21220.82,4456.37,12433.28
25,71,230,1,2,2,105622.72,25349.45,39038.16
26,83,230,1,3,2,141513.24,5660.53,58246.85
27,19,230,1,4,2,115564.07,0.0,48536.91
28,10,65,12,1,3,148480.89,31180.99,86994.95
29,1,123,10,1,2,112524.82,27005.96,41589.17
30,124,123,10,2,1,144899.54,14489.95,27386.01
31,113,100,,1,3,41597.83,2495.87,25682.5
32,5,149,,1,2,57052.01,11410.4,21565.66
33,12,149,,2,1,100038.61,12004.63,18487.14
34,34,149,,3,1,32535.19,650.7,6695.74
35,13,149,,4,2,113023.4,0.0,47469.83
36,44,45,,1,3,41412.58,6211.89,24785.43
37,142,45,,2,1,119648.89,8375.42,23367.43
38,63,45,,3,3,37572.9,0.0,23670.93
39,35,45,,4,1,13288.96,1594.68,2455.8
40,107,2,1,1,3,68677.25,14422.22,40238.0
41,33,2,1,2,1,139345.12,2786.9,28677.23
42,70,2,1,3,3,39001.57,8190.33,22851.02
43,90,184,11,1,2,79910.95,0.0,33562.6
44,143,184,11,2,1,124250.51,2485.01,25570.75
45,31,184,11,3,3,145504.46,0.0,91667.81
46,125,190,1,1,3,109754.35,0.0,69145.24
47,52,35,11,1,2,37323.91,1492.96,15362.52
48,9,35,11,2,3,93324.0,27997.2,52914.71
49,16,35,11,3,2,91403.82,3656.15,37621.81
50,112,187,11,1,3,101074.61,6064.48,62403.46
51,39,187,11,2,3,50845.69,0.0,32032.78
52,107,187,11,3,1,68677.25,0.0,14422.22
53,119,42,11,1,1,138670.88,16640.51,25626.38
54,104,42,11,2,1,9732.78,486.64,1941.69
55,119,42,11,3,3,138670.88,49921.52,76879.14
56,1,42,11,4,3,112524.82,0.0,70890.64
57,36,94,,1,2,14935.59,597.42,6147.49
58,139,94,,2,1,113384.73,13606.17,20953.5
59,71,195,,1,1,105622.72,0.0,22180.77
60,96,195,,2,2,47955.74,6713.8,18731.51
61,125,195,,3,3,109754.35,32926.31,62230.72
62,32,195,,4,2,130374.31,31289.83,48186.34
63,101,205,,1,1,117475.56,5873.78,23436.37
64,89,76,12,1,2,31366.78,4391.35,12251.86
65,6,76,12,2,2,16426.03,657.04,6760.95
66,17,76,12,3,1,21175.07,423.5,4357.83
67,134,76,12,4,3,71241.19,10686.18,42637.85
68,44,152,,1,2,41412.58,1656.5,17045.42
69,124,152,,2,2,144899.54,14489.95,57814.92
70,13,152,,3,1,113023.4,5651.17,22548.17
71,32,38,7,1,1,130374.31,9126.2,25462.1
72,128,38,7,2,1,113281.12,7929.68,22123.8
73,82,38,7,3,1,144884.51,0.0,30425.75
74,50,216,,1,3,121324.1,36397.23,68790.76
75,56,4,9,1,3,11436.05,2401.57,6700.38
76,37,230,,1,1,94810.32,4740.52,18914.66
77,107,194,11,1,1,68677.25,6867.73,12980.0
78,119,194,11,2,3,138670.88,41601.26,78626.39
79,36,194,11,3,1,14935.59,298.71,3073.74
