id,customer_id,campaign_id,paid_at_date_id,paid_at_time,amount,currency,payment_method,payment_status,transaction_id
1,228,2.0,237,20:25:58,690171.91,ARS,bank_transfer,captured,TX-200001
2,101,8.0,205,02:53:32,907395.76,ARS,debit_card,captured,TX-200002
3,99,9.0,208,05:00:42,147561.16,ARS,mercado_pago,captured,TX-200003
4,9,,243,00:25:10,79154.58,ARS,mercado_pago,captured,TX-200004
5,9,,243,04:54:10,54435.76,ARS,bank_transfer,captured,TX-200005
6,14,7.0,232,12:59:38,264194.17,ARS,mercado_pago,captured,TX-200006
7,198,11.0,210,09:12:48,455605.02,ARS,credit_card,captured,TX-200007
8,78,10.0,223,04:30:26,982708.07,ARS,credit_card,captured,TX-200008
9,174,4.0,155,20:18:30,62903.64,ARS,debit_card,captured,TX-200009
10,174,4.0,155,22:31:30,68590.25,ARS,mercado_pago,captured,TX-200010
11,230,1.0,186,11:43:29,911851.36,ARS,credit_card,captured,TX-200011
12,65,12.0,,,330851.52,ARS,bank_transfer,authorized,TX-200012
13,123,10.0,163,16:39:55,397428.46,ARS,mercado_pago,captured,TX-200013
14,100,,198,11:42:46,45895.42,ARS,gift_card,captured,TX-200014
15,100,,198,15:57:46,102084.7,ARS,debit_card,captured,TX-200015
16,149,,158,16:09:18,542877.25,ARS,gift_card,captured,TX-200016
17,2,1.0,166,04:43:46,528748.37,ARS,debit_card,captured,TX-200017
18,184,11.0,165,21:50:07,868901.94,ARS,gift_card,captured,TX-200018
19,190,1.0,174,15:45:15,398408.29,ARS,bank_transfer,captured,TX-200019
20,35,11.0,233,04:03:21,610180.19,ARS,bank_transfer,captured,TX-200020
21,187,11.0,185,22:01:23,627232.14,ARS,gift_card,captured,TX-200021
22,42,11.0,228,02:53:19,1010279.94,ARS,mercado_pago,captured,TX-200022
23,94,,225,16:26:22,156153.31,ARS,gift_card,captured,TX-200023
24,195,,189,15:20:03,871945.27,ARS,gift_card,captured,TX-200024
25,205,,210,13:10:43,55416.57,ARS,debit_card,captured,TX-200025
26,205,,210,14:32:43,79621.59,ARS,bank_transfer,captured,TX-200026
27,152,,225,17:48:15,561258.52,ARS,debit_card,captured,TX-200027
28,38,7.0,175,17:25:45,449495.71,ARS,mercado_pago,captured,TX-200028
29,216,,164,16:52:57,396365.83,ARS,mercado_pago,captured,TX-200029
30,4,9.0,193,22:13:22,43056.13,ARS,mercado_pago,captured,TX-200030
31,214,8.0,212,23:10:28,129347.28,ARS,bank_transfer,captured,TX-200031
32,96,,173,15:10:38,229809.37,ARS,credit_card,captured,TX-200032
33,40,4.0,224,13:20:03,166198.95,ARS,credit_card,captured,TX-200033
34,24,4.0,187,23:06:29,401109.41,ARS,debit_card,captured,TX-200034
35,195,8.0,,,144140.86,ARS,credit_card,authorized,TX-200035
36,80,10.0,204,21:34:48,438188.85,ARS,gift_card,captured,TX-200036
37,80,10.0,204,23:05:48,518712.94,ARS,credit_card,captured,TX-200037
38,153,11.0,,,218247.69,ARS,credit_card,authorized,TX-200038
39,161,6.0,,,206649.59,ARS,bank_transfer,authorized,TX-200039
40,143,8.0,176,06:53:39,723474.71,ARS,debit_card,captured,TX-200040
41,89,9.0,161,00:53:31,277653.27,ARS,gift_card,captured,TX-200041
42,89,9.0,161,01:17:31,477020.4,ARS,mercado_pago,captured,TX-200042
43,43,8.0,207,19:20:44,535939.42,ARS,gift_card,captured,TX-200043
44,146,11.0,198,20:47:28,555025.06,ARS,gift_card,captured,TX-200044
45,62,4.0,191,22:51:07,513449.25,ARS,credit_card,captured,TX-200045
46,213,7.0,165,10:40:05,157752.39,ARS,debit_card,captured,TX-200046
47,184,8.0,156,06:29:53,117558.74,ARS,bank_transfer,captured,TX-200047
48,226,,189,00:54:58,1170560.45,ARS,gift_card,captured,TX-200048
49,176,10.0,193,21:26:17,246058.75,ARS,gift_card,captured,TX-200049
50,176,10.0,193,22:16:17,549763.61,ARS,debit_card,captured,TX-200050
51,49,,216,14:54:39,104016.21,ARS,bank_transfer,captured,TX-200051
52,61,10.0,201,06:13:22,436782.37,ARS,credit_card,captured,TX-200052
53,61,10.0,201,08:18:22,398685.08,ARS,mercado_pago,captured,TX-200053
54,213,9.0,208,06:00:24,86265.17,ARS,bank_transfer,captured,TX-200054
55,213,9.0,208,07:04:24,127215.13,ARS,gift_card,captured,TX-200055
56,150,,225,20:34:27,379324.8,ARS,debit_card,captured,TX-200056
57,221,,190,12:45:58,151798.98,ARS,debit_card,captured,TX-200057
58,221,,190,13:35:58,225748.84,ARS,bank_transfer,captured,TX-200058
59,115,10.0,226,02:51:27,521301.27,ARS,debit_card,captured,TX-200059
60,106,2.0,226,12:13:31,144803.0,ARS,mercado_pago,captured,TX-200060
61,106,2.0,226,16:10:31,165599.59,ARS,gift_card,captured,TX-200061
62,223,12.0,233,03:08:01,467953.58,ARS,debit_card,captured,TX-200062
63,23,,172,01:15:26,349193.48,ARS,gift_card,captured,TX-200063
64,16,2.0,195,09:08:36,215101.3,ARS,mercado_pago,captured,TX-200064
65,16,2.0,195,12:56:36,176648.2,ARS,bank_transfer,captured,TX-200065
66,189,8.0,173,15:38:26,139418.27,ARS,bank_transfer,captured,TX-200066
67,189,8.0,173,19:15:26,245156.66,ARS,credit_card,captured,TX-200067
68,201,8.0,225,18:44:20,566694.91,ARS,credit_card,captured,TX-200068
69,218,4.0,206,11:14:23,391408.36,ARS,bank_transfer,captured,TX-200069
70,242,,,,329097.82,ARS,gift_card,authorized,TX-200070
71,180,9.0,194,16:31:49,51353.91,ARS,debit_card,captured,TX-200071
72,8,,193,08:23:30,210137.38,ARS,credit_card,captured,TX-200072
73,147,3.0,184,22:10:30,539326.07,ARS,debit_card,captured,TX-200073
74,150,12.0,209,21:49:25,725020.52,ARS,credit_card,captured,TX-200074
75,240,8.0,181,02:39:56,796497.46,ARS,bank_transfer,captured,TX-200075
76,222,,228,17:56:29,435375.37,ARS,credit_card,captured,TX-200076
77,222,,228,22:33:29,452540.05,ARS,gift_card,captured,TX-200077
78,24,1.0,224,06:07:20,657731.32,ARS,mercado_pago,refunded,TX-200078
79,26,8.0,,,216916.82,ARS,gift_card,authorized,TX-200079
80,163,4.0,155,02:47:59,226915.29,ARS,bank_transfer,captured,TX-200080
81,239,12.0,186,04:50:27,418094.51,ARS,debit_card,captured,TX-200081
82,239,12.0,186,08:36:27,303539.79,ARS,mercado_pago,captured,TX-200082
83,243,8.0,243,10:28:58,341093.05,ARS,credit_card,captured,TX-200083
84,92,12.0,243,09:18:25,196421.28,ARS,mercado_pago,captured,TX-200084
85,92,12.0,243,11:01:25,132450.58,ARS,gift_card,captured,TX-200085
86,207,5.0,216,16:12:59,23667.13,ARS,bank_transfer,captured,TX-200086
87,207,5.0,216,18:39:59,10449.84,ARS,credit_card,captured,TX-200087
88,50,6.0,,,320494.98,ARS,gift_card,authorized,TX-200088
89,1,10.0,237,20:53:17,917039.57,ARS,debit_card,captured,TX-200089
90,25,3.0,157,04:34:24,317555.77,ARS,gift_card,captured,TX-200090
91,14,8.0,203,07:29:20,872209.05,ARS,mercado_pago,captured,TX-200091
92,132,9.0,221,07:18:07,545817.98,ARS,debit_card,captured,TX-200092
93,109,,180,11:19:18,759271.64,ARS,mercado_pago,captured,TX-200093
94,77,10.0,166,21:32:26,159109.6,ARS,bank_transfer,captured,TX-200094
95,197,7.0,201,08:28:31,744387.92,ARS,mercado_pago,captured,TX-200095
96,79,,201,13:14:20,375367.73,ARS,debit_card,captured,TX-200096
97,219,9.0,195,23:59:57,21087.38,ARS,credit_card,captured,TX-200097
98,54,6.0,210,22:32:01,343625.24,ARS,mercado_pago,captured,TX-200098
99,165,,184,01:34:58,279665.05,ARS,debit_card,captured,TX-200099
100,168,5.0,183,20:15:43,407551.31,ARS,credit_card,captured,TX-200100
101,77,,225,04:10:21,405658.58,ARS,credit_card,captured,TX-200101
102,75,1.0,201,21:52:44,32089.62,ARS,gift_card,captured,TX-200102
103,75,1.0,202,02:01:44,61113.53,ARS,bank_transfer,captured,TX-200103
104,207,,225,16:52:30,821448.4,ARS,debit_card,captured,TX-200104
105,196,2.0,168,03:49:51,593423.5,ARS,bank_transfer,refunded,TX-200105
106,10,,242,22:58:08,581839.27,ARS,mercado_pago,captured,TX-200106
107,26,6.0,222,12:13:49,70830.72,ARS,gift_card,captured,TX-200107
108,26,6.0,222,16:04:49,50089.32,ARS,debit_card,captured,TX-200108
109,170,1.0,193,00:09:54,15415.12,ARS,debit_card,captured,TX-200109
110,4,8.0,241,20:18:00,45673.87,ARS,gift_card,captured,TX-200110
111,4,8.0,241,22:09:00,60333.25,ARS,debit_card,captured,TX-200111
112,27,,165,06:50:25,606881.86,ARS,gift_card,captured,TX-200112
113,164,,244,07:29:02,194524.06,ARS,gift_card,captured,TX-200113
