id,customer_id,campaign_id,carrier,service_level,shipped_at_date_id,shipped_at_time,delivered_at_date_id,delivered_at_time,shipping_cost,tracking_number
1,228,2,OCA,Estándar,239,05:25:58,241,05:25:58,0.0,PN8809905912
2,101,8,Andreani,Estándar,205,13:53:32,207,13:53:32,0.0,DX6911888696
3,9,,OCA,Estándar,243,13:25:10,,,0.0,GQ6665569504
4,14,7,OCA,Estándar,232,00:59:38,234,00:59:38,0.0,XT6317215099
5,78,10,OCA,Express,221,08:30:26,227,08:30:26,0.0,YL9832063777
6,230,1,Andreani,Express,187,10:43:29,191,10:43:29,0.0,BZ2361546142
7,123,10,OCA,Express,163,19:39:55,,,0.0,KQ9059047610
8,100,,Andreani,Express,201,17:42:46,,,0.0,MZ8903374265
9,149,,Andreani,Express,157,05:09:18,159,05:09:18,0.0,PQ0238741653
10,184,11,Correo Argentino,Estándar,165,22:50:07,,,0.0,HF7694160624
11,190,1,Andreani,Express,177,05:45:15,182,05:45:15,0.0,FC2241805042
12,35,11,Correo Argentino,Estándar,236,13:03:21,239,13:03:21,0.0,XP7661980849
13,187,11,OCA,Express,184,09:01:23,189,09:01:23,0.0,MU8425079126
14,42,11,Correo Argentino,Express,227,00:53:19,231,00:53:19,0.0,SP5266395930
15,152,,OCA,Express,226,04:48:15,,,0.0,EE7971195432
16,38,7,Correo Argentino,Express,175,19:25:45,,,0.0,ZT9677931406
17,216,,Andreani,Estándar,165,11:52:57,,,0.0,NL6051369931
18,214,8,OCA,Express,212,08:10:28,,,0.0,KM6212907558
19,96,,Correo Argentino,Express,175,21:10:38,179,21:10:38,0.0,BH6016751338
20,40,4,Correo Argentino,Express,227,22:20:03,231,22:20:03,0.0,DL9591371166
21,24,4,OCA,Estándar,190,21:06:29,193,21:06:29,0.0,ZC2573549133
22,143,8,Correo Argentino,Express,174,17:53:39,179,17:53:39,0.0,PJ6720513857
23,89,9,OCA,Express,163,08:53:31,,,0.0,OX2659335816
24,146,11,Andreani,Estándar,198,02:47:28,,,0.0,OF9749567456
25,62,4,Andreani,Estándar,192,15:51:07,195,15:51:07,0.0,UI4949220725
26,213,7,Andreani,Estándar,167,08:40:05,,,0.0,CF2480561542
27,184,8,OCA,Estándar,157,23:29:53,161,23:29:53,0.0,NG4099939728
28,226,,OCA,Estándar,190,02:54:58,195,02:54:58,0.0,TQ1460235127
29,176,10,Correo Argentino,Estándar,196,16:26:17,199,16:26:17,0.0,BQ6191505798
30,61,10,OCA,Estándar,203,21:13:22,207,21:13:22,0.0,AN3961801143
31,213,9,Andreani,Express,211,06:00:24,,,0.0,JS4488108115
32,150,,Andreani,Express,226,06:34:27,,,0.0,VR4950969377
33,221,,Andreani,Express,189,11:45:58,192,11:45:58,0.0,UH7614483616
34,115,10,OCA,Estándar,228,21:51:27,,,0.0,HL9411985200
35,106,2,OCA,Express,228,09:13:31,,,0.0,IX8209264030
36,23,,Correo Argentino,Estándar,174,17:15:26,176,17:15:26,0.0,CW4445790357
37,16,2,Andreani,Express,193,20:08:36,,,0.0,SM4556987487
38,189,8,Andreani,Estándar,176,22:38:26,180,22:38:26,0.0,OZ3261858312
39,201,8,OCA,Estándar,224,09:44:20,230,09:44:20,0.0,VB1689124570
40,218,4,OCA,Estándar,208,00:14:23,,,0.0,DT4284448730
41,180,9,OCA,Express,196,12:31:49,200,12:31:49,5522.7,UW0537855253
42,147,3,Correo Argentino,Estándar,183,21:10:30,,,0.0,VJ0780084435
43,150,12,OCA,Express,210,17:49:25,,,0.0,XD8132513320
44,240,8,OCA,Express,181,06:39:56,184,06:39:56,0.0,TR1706639306
45,222,,Correo Argentino,Estándar,227,22:56:29,229,22:56:29,0.0,GS8486408044
46,163,4,OCA,Estándar,158,09:47:59,160,09:47:59,0.0,UD5129950896
47,243,8,Andreani,Estándar,246,16:28:58,,,0.0,RK8775760086
48,1,10,Correo Argentino,Express,236,01:53:17,,,0.0,NI3388926991
49,25,3,Andreani,Express,159,21:34:24,,,0.0,PC0038019436
50,14,8,Andreani,Estándar,205,03:29:20,207,03:29:20,0.0,PB7156247427
51,197,7,Andreani,Estándar,201,07:28:31,203,07:28:31,0.0,HF2182112181
52,219,9,Andreani,Estándar,197,08:59:57,203,08:59:57,5810.31,NT6544336742
53,54,6,Andreani,Express,211,08:32:01,217,08:32:01,0.0,NI4434204209
54,165,,Correo Argentino,Express,184,03:34:58,188,03:34:58,0.0,EP1875272399
55,168,5,Correo Argentino,Express,184,08:15:43,187,08:15:43,0.0,FL5351908834
56,77,,Andreani,Express,228,01:10:21,,,0.0,CO4801506410
57,75,1,Correo Argentino,Estándar,200,18:52:44,,,0.0,DF4746955620
58,207,,Correo Argentino,Express,228,17:52:30,,,0.0,XE5392826296
59,4,8,Andreani,Estándar,243,02:18:00,248,02:18:00,0.0,FJ1433408630
60,164,,Andreani,Estándar,243,00:29:02,,,0.0,JH1209597326
61,209,7,Correo Argentino,Estándar,182,12:03:40,184,12:03:40,0.0,YB9911572544
62,96,12,Correo Argentino,Express,236,21:25:10,,,0.0,UT3763034249
63,239,11,OCA,Estándar,156,06:07:52,159,06:07:52,0.0,LV1017294668
64,223,,Correo Argentino,Estándar,173,00:56:05,179,00:56:05,0.0,AQ9368976247
65,169,3,Correo Argentino,Estándar,193,22:06:23,196,22:06:23,0.0,MO2196190933
66,122,3,Andreani,Express,224,23:04:00,227,23:04:00,0.0,DC0797138950
67,109,7,OCA,Express,240,04:35:55,245,04:35:55,0.0,DH7880356285
68,78,11,OCA,Estándar,229,05:00:30,234,05:00:30,0.0,YC9109659640
69,153,5,Andreani,Estándar,203,23:58:33,205,23:58:33,0.0,CM6505527714
70,114,4,OCA,Estándar,242,11:23:37,,,0.0,PH7452614969
71,222,8,Correo Argentino,Estándar,233,03:36:24,,,0.0,GR7615296376
